"time","power"
2024-01-11 09:12:07,206
2024-01-11 09:12:18,207
2024-01-11 09:12:23,207
2024-01-11 09:12:28,205
2024-01-11 09:12:33,206
2024-01-11 09:12:49,207
2024-01-11 09:12:55,205
2024-01-11 09:13:00,205
2024-01-11 09:13:05,206
2024-01-11 09:13:10,204
2024-01-11 09:13:21,204
2024-01-11 09:13:26,202
2024-01-11 09:13:32,201
2024-01-11 09:13:37,205
2024-01-11 09:13:42,206
2024-01-11 09:13:47,205
2024-01-11 09:13:58,203
2024-01-11 09:14:03,205
2024-01-11 09:14:09,201
2024-01-11 09:14:14,206
2024-01-11 09:14:40,205
2024-01-11 09:14:46,204
2024-01-11 09:14:51,207
2024-01-11 09:15:01,208
2024-01-11 09:15:12,206
2024-01-11 09:15:18,202
2024-01-11 09:15:23,205
2024-01-11 09:15:33,207
2024-01-11 09:15:38,206
2024-01-11 09:15:49,205
2024-01-11 09:15:54,206
2024-01-11 09:16:00,201
2024-01-11 09:16:05,205
2024-01-11 09:16:10,203
2024-01-11 09:16:15,205
2024-01-11 09:16:26,206
2024-01-11 09:16:37,206
2024-01-11 09:16:42,208
2024-01-11 09:16:47,366
2024-01-11 09:16:52,359
2024-01-11 09:17:03,369
2024-01-11 09:17:08,369
2024-01-11 09:17:14,366
2024-01-11 09:17:19,365
2024-01-11 09:17:24,358
2024-01-11 09:17:29,364
2024-01-11 09:17:40,364
2024-01-11 09:17:46,366
2024-01-11 09:17:51,358
2024-01-11 09:17:56,364
2024-01-11 09:18:01,365
2024-01-11 09:18:06,364
2024-01-11 09:18:17,363
2024-01-11 09:18:22,358
2024-01-11 09:18:28,359
2024-01-11 09:18:33,363
2024-01-11 09:18:38,367
2024-01-11 09:18:43,365
2024-01-11 09:18:54,367
2024-01-11 09:19:00,369
2024-01-11 09:19:05,364
2024-01-11 09:19:10,365
2024-01-11 09:19:15,359
2024-01-11 09:19:20,367
2024-01-11 09:19:31,371
2024-01-11 09:19:36,369
2024-01-11 09:19:42,363
